timestamp,Open,High,Low,Close,Volume,Date,Ticker
1620345600000,1.6028,1.695,1.505,1.5793,894697893.67,2021-05-07,XRP
1620432000000,1.5795,1.6277,1.5404,1.5611,514586255.38,2021-05-08,XRP
1620518400000,1.5611,1.5968,1.4249,1.5345,726954201.32,2021-05-09,XRP
1620604800000,1.5343,1.627,1.214,1.3906,1154086820.05,2021-05-10,XRP
1620691200000,1.391,1.4905,1.3555,1.4786,724101053.89,2021-05-11,XRP
1620777600000,1.4788,1.547,1.235,1.2691,1028881609.0,2021-05-12,XRP
1620864000000,1.269,1.389,1.2,1.364,1308704814.37,2021-05-13,XRP
1620950400000,1.3644,1.4488,1.321,1.4,772801586.76,2021-05-14,XRP
1621036800000,1.3998,1.5869,1.3211,1.4904,1495464769.52,2021-05-15,XRP
1621123200000,1.4911,1.6131,1.3373,1.4496,1498147985.65,2021-05-16,XRP
1621209600000,1.4496,1.565,1.3242,1.4946,1560737399.7,2021-05-17,XRP
1621296000000,1.4952,1.705,1.4698,1.5889,1813933407.63,2021-05-18,XRP
1621382400000,1.5893,1.6448,0.85,1.0568,3180237280.29,2021-05-19,XRP
1621468800000,1.0565,1.2664,0.9,1.1795,1974341688.46,2021-05-20,XRP
1621555200000,1.1802,1.2194,0.8641,1.0062,1813489499.17,2021-05-21,XRP
1621641600000,1.0062,1.0162,0.816,0.9052,1478148766.91,2021-05-22,XRP
1621728000000,0.9052,0.9679,0.65,0.7898,1976494217.2,2021-05-23,XRP
1621814400000,0.7899,0.997,0.7537,0.993,1613054853.94,2021-05-24,XRP
1621900800000,0.9934,1.07,0.8791,0.9746,1654728049.91,2021-05-25,XRP
1621987200000,0.9747,1.0698,0.9461,1.0316,1160288119.63,2021-05-26,XRP
1622073600000,1.0316,1.0423,0.9322,0.9747,997129594.42,2021-05-27,XRP
1622160000000,0.9747,0.9847,0.8445,0.8985,1220369622.06,2021-05-28,XRP
1622246400000,0.8985,0.9413,0.7911,0.8318,980984330.42,2021-05-29,XRP
1622332800000,0.8319,0.9337,0.7974,0.9058,837581783.3,2021-05-30,XRP
1622419200000,0.9058,1.0495,0.8789,1.0409,1221688769.45,2021-05-31,XRP
1622505600000,1.0409,1.1,0.9742,1.0108,1130390772.85,2021-06-01,XRP
1622592000000,1.0108,1.0498,0.9793,1.0241,673790276.52,2021-06-02,XRP
1622678400000,1.0241,1.0789,1.0069,1.045,701176435.11,2021-06-03,XRP
1622764800000,1.0453,1.0466,0.9156,0.9683,814525376.26,2021-06-04,XRP
1622851200000,0.9683,0.9973,0.8921,0.923,621966894.8,2021-06-05,XRP
1622937600000,0.923,0.9493,0.917,0.947,395443235.74,2021-06-06,XRP
1623024000000,0.9469,0.976,0.838,0.8618,673906993.46,2021-06-07,XRP
1623110400000,0.8619,0.8861,0.7838,0.8731,989287175.65,2021-06-08,XRP
1623196800000,0.873,0.9218,0.83,0.9218,798994471.7,2021-06-09,XRP
1623283200000,0.9218,0.9298,0.8522,0.8686,592646634.43,2021-06-10,XRP
1623369600000,0.8686,0.88,0.8335,0.8471,384826199.07,2021-06-11,XRP
1623456000000,0.8469,0.8479,0.8054,0.8326,375425465.13,2021-06-12,XRP
1623542400000,0.8325,0.8883,0.817,0.8832,344882480.06,2021-06-13,XRP
1623628800000,0.8833,0.93,0.8628,0.8906,441724628.58,2021-06-14,XRP
1623715200000,0.8905,0.9017,0.8551,0.8663,367733719.97,2021-06-15,XRP
1623801600000,0.8663,0.8733,0.8259,0.832,380134518.73,2021-06-16,XRP
1623888000000,0.8319,0.8612,0.8234,0.8419,315642616.21,2021-06-17,XRP
1623974400000,0.8419,0.845,0.7687,0.7972,389494745.89,2021-06-18,XRP
1624060800000,0.7971,0.8055,0.7557,0.7582,317290687.13,2021-06-19,XRP
1624147200000,0.7583,0.785,0.6968,0.7741,589364804.52,2021-06-20,XRP
1624233600000,0.7741,0.7803,0.6037,0.6067,1073284195.87,2021-06-21,XRP
1624320000000,0.6068,0.65,0.509,0.5468,1611548012.73,2021-06-22,XRP
1624406400000,0.5468,0.6655,0.5203,0.6383,1167774271.66,2021-06-23,XRP
1624492800000,0.6383,0.6928,0.6163,0.6731,633338243.16,2021-06-24,XRP
1624579200000,0.6731,0.6889,0.6019,0.6111,795450033.45,2021-06-25,XRP
1624665600000,0.611,0.6329,0.5814,0.6162,548990505.59,2021-06-26,XRP
1624752000000,0.6163,0.6523,0.5963,0.6484,472483880.77,2021-06-27,XRP
1624838400000,0.6483,0.6583,0.6238,0.6444,460033268.3,2021-06-28,XRP
1624924800000,0.6444,0.734,0.6417,0.7063,718445315.27,2021-06-29,XRP
1625011200000,0.7062,0.7145,0.6477,0.7063,634287485.15,2021-06-30,XRP
1625097600000,0.7062,0.7064,0.644,0.6591,463328799.28,2021-07-01,XRP
1625184000000,0.6592,0.6676,0.6329,0.6556,387562387.59,2021-07-02,XRP
1625270400000,0.6557,0.6849,0.6433,0.6732,329367273.74,2021-07-03,XRP
1625356800000,0.6733,0.7091,0.6655,0.696,334071078.78,2021-07-04,XRP
1625443200000,0.696,0.697,0.6444,0.6526,407839477.88,2021-07-05,XRP
1625529600000,0.6526,0.68,0.6511,0.6648,356111895.89,2021-07-06,XRP
1625616000000,0.6648,0.674,0.65,0.6522,284356433.42,2021-07-07,XRP
1625702400000,0.6521,0.6545,0.6108,0.6215,430925669.18,2021-07-08,XRP
1625788800000,0.6214,0.6457,0.5917,0.6369,358836803.69,2021-07-09,XRP
1625875200000,0.6369,0.6489,0.612,0.6246,279711260.06,2021-07-10,XRP
1625961600000,0.6246,0.6449,0.6169,0.6364,201320995.42,2021-07-11,XRP
1626048000000,0.6363,0.6575,0.6172,0.6288,356848391.96,2021-07-12,XRP
1626134400000,0.6288,0.6426,0.6086,0.6192,315648113.8,2021-07-13,XRP
1626220800000,0.6193,0.625,0.5851,0.6197,352306488.76,2021-07-14,XRP
1626307200000,0.6196,0.6269,0.5874,0.5979,339655984.05,2021-07-15,XRP
1626393600000,0.5979,0.6211,0.5874,0.5893,282511701.89,2021-07-16,XRP
1626480000000,0.5893,0.5977,0.56,0.5821,263418042.14,2021-07-17,XRP
1626566400000,0.5822,0.6016,0.571,0.5866,241849135.65,2021-07-18,XRP
1626652800000,0.5867,0.5889,0.5533,0.557,294780945.07,2021-07-19,XRP
1626739200000,0.557,0.5699,0.5157,0.5284,393704657.61,2021-07-20,XRP
1626825600000,0.5284,0.584,0.5193,0.5719,493423679.61,2021-07-21,XRP
1626912000000,0.5718,0.6033,0.5609,0.592,409238764.36,2021-07-22,XRP
1626998400000,0.592,0.6101,0.5753,0.6091,359561806.43,2021-07-23,XRP
1627084800000,0.6092,0.6205,0.5996,0.6085,319684922.3,2021-07-24,XRP
1627171200000,0.6085,0.6118,0.5906,0.6069,259034501.15,2021-07-25,XRP
1627257600000,0.6069,0.6793,0.6048,0.6234,803413949.18,2021-07-26,XRP
1627344000000,0.6234,0.6528,0.6121,0.6451,427078091.95,2021-07-27,XRP
1627430400000,0.645,0.7549,0.6308,0.7327,1172622702.04,2021-07-28,XRP
1627516800000,0.7327,0.7665,0.697,0.7488,513356476.87,2021-07-29,XRP
1627603200000,0.7488,0.7697,0.7115,0.7521,604445794.9,2021-07-30,XRP
1627689600000,0.7522,0.7591,0.7367,0.746,377281828.25,2021-07-31,XRP
1627776000000,0.7461,0.7778,0.7042,0.7242,469477766.36,2021-08-01,XRP
1627862400000,0.7242,0.774,0.715,0.738,410656081.94,2021-08-02,XRP
1627948800000,0.738,0.745,0.7008,0.7136,398158150.61,2021-08-03,XRP
1628035200000,0.7136,0.7398,0.6952,0.731,330543019.03,2021-08-04,XRP
1628121600000,0.731,0.7389,0.701,0.7327,331894003.59,2021-08-05,XRP
1628208000000,0.7327,0.753,0.7219,0.7474,304988991.92,2021-08-06,XRP
1628294400000,0.7474,0.8189,0.7411,0.8162,589624594.72,2021-08-07,XRP
1628380800000,0.8163,0.8413,0.7717,0.7788,556138875.77,2021-08-08,XRP
1628467200000,0.7788,0.8279,0.7596,0.817,474908832.08,2021-08-09,XRP
1628553600000,0.8169,0.8622,0.8,0.8511,503252613.21,2021-08-10,XRP
1628640000000,0.8511,1.0906,0.848,1.0105,1131344973.99,2021-08-11,XRP
1628726400000,1.0106,1.045,0.9222,0.966,990869466.08,2021-08-12,XRP
1628812800000,0.9661,1.0968,0.9501,1.0901,674407528.31,2021-08-13,XRP
1628899200000,1.0901,1.31,1.0691,1.2791,1408060485.32,2021-08-14,XRP
1628985600000,1.2788,1.35,1.2252,1.2839,1155282513.71,2021-08-15,XRP
1629072000000,1.2838,1.3288,1.1432,1.1855,912003805.45,2021-08-16,XRP
1629158400000,1.1855,1.2479,1.085,1.0978,893360572.36,2021-08-17,XRP
1629244800000,1.098,1.1963,1.0501,1.1431,870414538.26,2021-08-18,XRP
1629331200000,1.143,1.2355,1.0895,1.2347,723276976.29,2021-08-19,XRP
1629417600000,1.2347,1.2897,1.1992,1.2629,594584554.01,2021-08-20,XRP
1629504000000,1.2629,1.2835,1.2,1.2158,394160040.58,2021-08-21,XRP
1629590400000,1.2158,1.2557,1.1776,1.226,360176161.72,2021-08-22,XRP
1629676800000,1.2258,1.3046,1.2024,1.2457,661403795.74,2021-08-23,XRP
1629763200000,1.2456,1.2658,1.1212,1.1353,637760055.93,2021-08-24,XRP
1629849600000,1.1353,1.1779,1.1073,1.1735,530858362.99,2021-08-25,XRP
1629936000000,1.1735,1.1866,1.0636,1.0712,569965192.92,2021-08-26,XRP
1630022400000,1.0713,1.1926,1.0501,1.1918,565739468.35,2021-08-27,XRP
1630108800000,1.1918,1.198,1.1329,1.1459,314618250.83,2021-08-28,XRP
1630195200000,1.1458,1.1683,1.112,1.1408,313294895.0,2021-08-29,XRP
1630281600000,1.1408,1.1488,1.0946,1.1002,364996870.0,2021-08-30,XRP
1630368000000,1.1005,1.2441,1.0907,1.1856,709823003.3,2021-08-31,XRP
1630454400000,1.1856,1.2384,1.158,1.2362,469917987.0,2021-09-01,XRP
1630540800000,1.2362,1.295,1.2216,1.2533,501596506.82,2021-09-02,XRP
1630627200000,1.2533,1.3235,1.2189,1.2907,526413570.07,2021-09-03,XRP
1630713600000,1.2906,1.2972,1.2352,1.2548,355870711.0,2021-09-04,XRP
1630800000000,1.2548,1.3125,1.2361,1.3076,335187953.0,2021-09-05,XRP
1630886400000,1.3075,1.4151,1.3065,1.3894,710855257.92,2021-09-06,XRP
1630972800000,1.3894,1.3922,0.9524,1.1292,1297978123.89,2021-09-07,XRP
1631059200000,1.129,1.148,1.0133,1.0998,794455994.0,2021-09-08,XRP
1631145600000,1.0999,1.1377,1.0619,1.0868,604426508.0,2021-09-09,XRP
1631232000000,1.0868,1.245,1.03,1.0552,901671116.0,2021-09-10,XRP
1631318400000,1.0552,1.12,1.0503,1.0787,336502704.0,2021-09-11,XRP
1631404800000,1.0788,1.1276,1.0576,1.1181,324049191.0,2021-09-12,XRP
1631491200000,1.1181,1.1266,1.025,1.0643,510682363.0,2021-09-13,XRP
1631577600000,1.0644,1.0978,1.0566,1.0963,275908113.0,2021-09-14,XRP
1631664000000,1.0962,1.13,1.0784,1.1207,289063987.0,2021-09-15,XRP
1631750400000,1.1207,1.13,1.0662,1.0902,302954441.0,2021-09-16,XRP
1631836800000,1.0903,1.1025,1.0509,1.0661,297933223.0,2021-09-17,XRP
1631923200000,1.0663,1.0952,1.0562,1.0751,195352031.0,2021-09-18,XRP
1632009600000,1.0752,1.0837,1.0383,1.0483,211015299.0,2021-09-19,XRP
1632096000000,1.0483,1.0497,0.8738,0.9216,837287959.74,2021-09-20,XRP
1632182400000,0.9216,0.9593,0.8582,0.8743,632313366.81,2021-09-21,XRP
1632268800000,0.874,1.0094,0.8679,1.0033,606417695.0,2021-09-22,XRP
1632355200000,1.0033,1.017,0.9676,1.0016,409673892.0,2021-09-23,XRP
1632441600000,1.0016,1.0027,0.8858,0.944,605329486.0,2021-09-24,XRP
1632528000000,0.9442,0.9577,0.9163,0.94,347043937.0,2021-09-25,XRP
1632614400000,0.9399,0.9567,0.8915,0.9436,384081774.0,2021-09-26,XRP
1632700800000,0.9436,0.9818,0.9194,0.9218,350234819.0,2021-09-27,XRP
1632787200000,0.9217,0.9431,0.8903,0.8928,313521537.0,2021-09-28,XRP
1632873600000,0.8928,0.9941,0.8861,0.9268,459660796.0,2021-09-29,XRP
1632960000000,0.9266,0.964,0.9217,0.9533,332911904.0,2021-09-30,XRP
1633046400000,0.9535,1.0695,0.9443,1.0422,644378881.0,2021-10-01,XRP
1633132800000,1.0422,1.0733,1.0079,1.0359,398398944.0,2021-10-02,XRP
1633219200000,1.0359,1.0884,1.021,1.0552,410176280.0,2021-10-03,XRP
1633305600000,1.0552,1.0596,1.0059,1.0425,416467677.0,2021-10-04,XRP
1633392000000,1.0429,1.088,1.038,1.0839,429469278.0,2021-10-05,XRP
1633478400000,1.084,1.1081,1.0171,1.0765,509214129.0,2021-10-06,XRP
1633564800000,1.0766,1.0942,1.0423,1.0678,410868906.0,2021-10-07,XRP
1633651200000,1.0677,1.0927,1.0539,1.0636,335486636.0,2021-10-08,XRP
1633737600000,1.0636,1.2089,1.0565,1.1604,678027224.72,2021-10-09,XRP
1633824000000,1.1604,1.23,1.1262,1.1352,647048690.0,2021-10-10,XRP
1633910400000,1.1352,1.182,1.1017,1.1364,429676031.0,2021-10-11,XRP
1633996800000,1.1363,1.1364,1.0634,1.1018,455399313.0,2021-10-12,XRP
1634083200000,1.1017,1.1387,1.075,1.1275,403291632.0,2021-10-13,XRP
1634169600000,1.1277,1.16,1.1174,1.1336,353714419.0,2021-10-14,XRP
1634256000000,1.1335,1.1656,1.0914,1.1413,573654581.0,2021-10-15,XRP
1634342400000,1.1415,1.1869,1.13,1.1343,339530696.0,2021-10-16,XRP
1634428800000,1.1343,1.1407,1.0172,1.0944,384414867.0,2021-10-17,XRP
1634515200000,1.0943,1.1064,1.0642,1.0827,321174243.0,2021-10-18,XRP
1634601600000,1.0827,1.1009,1.0661,1.0911,235324664.0,2021-10-19,XRP
1634688000000,1.0911,1.1529,1.0868,1.1455,346122480.0,2021-10-20,XRP
1634774400000,1.1451,1.164,1.0851,1.0886,442288500.0,2021-10-21,XRP
1634860800000,1.0885,1.1288,1.0739,1.0885,333619107.0,2021-10-22,XRP
1634947200000,1.0885,1.1018,1.0763,1.0934,189644449.0,2021-10-23,XRP
1635033600000,1.0935,1.0961,1.0522,1.0821,234286648.0,2021-10-24,XRP
1635120000000,1.0821,1.1034,1.0778,1.0951,218666074.0,2021-10-25,XRP
1635206400000,1.0951,1.1606,1.0905,1.1075,439499263.0,2021-10-26,XRP
1635292800000,1.1076,1.1248,0.9483,0.995,914728059.0,2021-10-27,XRP
1635379200000,0.9951,1.0816,0.981,1.0579,686113717.0,2021-10-28,XRP
1635465600000,1.058,1.0903,1.0409,1.0825,357777322.0,2021-10-29,XRP
1635552000000,1.0825,1.1169,1.0611,1.0846,372223050.0,2021-10-30,XRP
1635638400000,1.0845,1.1544,1.0689,1.1128,659007943.0,2021-10-31,XRP
1635724800000,1.1128,1.1321,1.069,1.0915,381430430.0,2021-11-01,XRP
1635811200000,1.0916,1.1468,1.0851,1.1349,398377412.0,2021-11-02,XRP
1635897600000,1.1348,1.2363,1.1255,1.2101,838803472.0,2021-11-03,XRP
1635984000000,1.21,1.2574,1.1604,1.2004,553456246.0,2021-11-04,XRP
1636070400000,1.2004,1.2015,1.1311,1.1581,318649692.0,2021-11-05,XRP
1636156800000,1.1581,1.1828,1.1,1.151,260339849.0,2021-11-06,XRP
1636243200000,1.1511,1.2374,1.1451,1.2198,371235010.0,2021-11-07,XRP
1636329600000,1.2198,1.296,1.2192,1.2815,606055941.0,2021-11-08,XRP
1636416000000,1.2815,1.2884,1.2245,1.2571,465127517.0,2021-11-09,XRP
1636502400000,1.2572,1.3493,1.1174,1.1902,932520826.0,2021-11-10,XRP
1636588800000,1.1902,1.2544,1.1764,1.2142,475284132.0,2021-11-11,XRP
1636675200000,1.2142,1.2332,1.1542,1.1883,446863355.0,2021-11-12,XRP
1636761600000,1.1884,1.2039,1.167,1.1892,240083101.0,2021-11-13,XRP
1636848000000,1.1894,1.1995,1.1675,1.1879,192023307.0,2021-11-14,XRP
1636934400000,1.1879,1.2198,1.1651,1.172,266793400.0,2021-11-15,XRP
1637020800000,1.172,1.1721,1.0418,1.0877,599544174.0,2021-11-16,XRP
1637107200000,1.0877,1.113,1.0588,1.0953,383487232.0,2021-11-17,XRP
1637193600000,1.0953,1.17,1.015,1.0406,698664651.0,2021-11-18,XRP
1637280000000,1.0406,1.103,1.0174,1.0892,349087574.0,2021-11-19,XRP
1637366400000,1.0892,1.1015,1.0594,1.0965,251779916.0,2021-11-20,XRP
1637452800000,1.0965,1.0974,1.0544,1.0569,228064131.0,2021-11-21,XRP
1637539200000,1.0571,1.071,1.0251,1.0354,307140428.0,2021-11-22,XRP
1637625600000,1.0354,1.0715,1.0192,1.0661,341407597.0,2021-11-23,XRP
1637712000000,1.0662,1.0735,1.0068,1.0326,344750680.0,2021-11-24,XRP
1637798400000,1.0325,1.0647,1.0215,1.0438,312211526.0,2021-11-25,XRP
1637884800000,1.0439,1.0467,0.9108,0.9394,659982617.0,2021-11-26,XRP
1637971200000,0.9392,0.9656,0.9336,0.9452,224846313.0,2021-11-27,XRP
1638057600000,0.9453,0.9692,0.8825,0.9687,336336729.0,2021-11-28,XRP
1638144000000,0.9687,1.0019,0.9631,0.9898,303393405.0,2021-11-29,XRP
1638230400000,0.9899,1.0304,0.97,0.9983,340017409.0,2021-11-30,XRP
1638316800000,0.9984,1.0173,0.9799,0.9899,250291608.0,2021-12-01,XRP
1638403200000,0.9898,0.9901,0.9545,0.9716,213172250.0,2021-12-02,XRP
1638489600000,0.9715,0.9838,0.89,0.9211,297172193.0,2021-12-03,XRP
1638576000000,0.9211,0.9245,0.6,0.8449,1357965897.04,2021-12-04,XRP
1638662400000,0.8452,0.862,0.769,0.8045,518767360.0,2021-12-05,XRP
1638748800000,0.8045,0.8303,0.7485,0.8255,508644255.0,2021-12-06,XRP
1638835200000,0.8256,0.8467,0.8042,0.8154,319504545.0,2021-12-07,XRP
1638921600000,0.8154,0.8844,0.8026,0.8622,415004580.0,2021-12-08,XRP
1639008000000,0.8623,0.9361,0.8319,0.8583,684730305.0,2021-12-09,XRP
1639094400000,0.8583,0.8829,0.7914,0.7992,496512579.0,2021-12-10,XRP
1639180800000,0.7992,0.8445,0.7844,0.8392,284945414.0,2021-12-11,XRP
1639267200000,0.8391,0.8572,0.8088,0.8393,224450903.0,2021-12-12,XRP
1639353600000,0.8394,0.8444,0.7601,0.7818,378446930.0,2021-12-13,XRP
1639440000000,0.782,0.8214,0.7717,0.8103,352693472.0,2021-12-14,XRP
